nominal_diameter_inch,od_inch,od_mm,sch_10,sch_20,sch_30,sch_std,sch_40,sch_60,sch_xs,sch_80,sch_100,sch_120,sch_140,sch_160,sch_XXS,sch_5S,sch_10S,sch_40S,sch_80S
1/8,0.405,10.29,1.24,,,1.73,1.73,,2.41,2.41,,,,,,,1.24,1.73,2.41
1/4,0.540,13.72,1.65,,1.85,2.24,2.24,,3.02,3.02,,,,,,,1.65,2.24,3.02
3/8,0.675,17.15,1.65,,1.85,2.31,2.31,,3.2,3.2,,,,,,,1.65,2.31,3.2
1/2,0.840,21.34,2.11,,2.41,2.77,2.77,,3.73,3.73,,,,4.78,7.47,1.65,2.11,2.77,3.73
3/4,1.050,26.67,2.11,,2.41,2.87,2.87,,3.91,3.91,,,,5.56,7.82,1.65,2.11,2.87,3.91
1,1.315,33.40,2.77,,2.90,3.38,3.38,,4.55,4.55,,,,6.35,9.09,1.65,2.77,3.38,4.55
1 1/4,1.660,42.16,2.77,,2.97,3.56,3.56,,4.85,4.85,,,,6.35,9.7,1.65,2.77,3.56,4.85
1 1/2,1.900,48.26,2.77,,3.18,3.68,3.68,,5.08,5.08,,,,7.14,10.15,1.65,2.77,3.68,5.08
2,2.375,60.33,2.77,,3.18,3.91,3.91,,5.54,5.54,,,,8.74,11.07,1.65,2.77,3.91,5.54
2 1/2,2.875,73.03,3.05,,4.78,5.16,5.16,,7.01,7.01,,,,9.35,14.02,2.11,3.05,5.16,7.01
3,3.500,88.90,3.05,,4.78,5.49,5.49,,7.62,7.62,,,,11.13,15.24,2.11,3.05,5.49,7.62
3 1/2,4.000,101.60,3.05,,4.78,5.74,5.74,,8.08,8.08,,,,-,-,2.11,3.05,5.74,8.08
4,4.500,114.30,3.05,,4.78,6.02,6.02,,8.56,8.56,,11.13,,13.49,17.12,2.11,3.05,6.02,8.56
5,5.563,141.30,3.4,,,6.55,6.55,,9.53,9.53,,12.7,,15.88,19.05,2.77,3.40,6.55,9.53
6,6.625,168.28,3.4,,,7.11,7.11,,10.97,10.97,,14.27,,18.26,21.95,2.77,3.40,7.11,10.97
8,8.625,219.08,3.76,6.35,7.04,8.18,8.18,10.31,12.7,12.7,15.09,18.26,20.62,23.01,22.23,2.77,3.76,8.18,12.7
10,10.750,273.05,4.19,6.35,7.80,9.27,9.27,12.7,12.7,15.09,18.26,21.44,25.4,28.58,25.4,3.4,4.19,9.27,12.7
12,12.750,323.85,4.57,6.35,8.38,9.53,10.31,14.27,12.7,17.48,21.44,25.4,28.58,33.32,25.4,3.96,4.57,9.52,12.7
14,14.000,355.60,6.35,7.92,9.53,9.53,11.13,15.09,12.7,19.05,23.83,27.79,31.75,35.71,35.71,3.96,4.78,,
16,16.000,406.40,6.35,7.92,9.53,9.53,12.7,16.66,12.7,21.44,26.19,30.96,36.53,40.49,40.49,4.19,4.78,,
18,18.000,457.20,6.35,7.92,11.13,9.53,14.27,19.05,12.7,23.88,29.36,34.93,39.67,45.24,45.24,4.19,7.78,,
20,20.000,508.00,6.35,9.53,12.7,9.53,15.09,20.62,12.7,26.19,32.54,38.1,44.45,50.01,50.01,4.78,5.54,,
22,22.000,558.80,6.35,9.53,12.7,9.53,-,22.23,12.7,28.58,34.93,41.28,47.63,53.98,53.97,4.78,5.54,,
24,24.000,609.60,6.35,9.53,14.27,9.53,17.48,24.61,12.7,30.96,38.89,46.02,52.37,59.54,59.54,5.54,6.35,,
26,26.000,660.00,6.35,12.7,-,9.53,-,,12.7,,,,,,,,,,
28,28.000,711.20,6.35,12.7,15.88,9.53,-,,12.7,,,,,,,,,,
30,30.000,762.00,6.35,12.7,15.88,9.53,-,,12.7,,,,,,,6.35,7.92,,
32,32.000,812.80,6.35,12.7,15.88,9.53,17.48,,12.7,,,,,,,,,,
34,34.000,863.60,6.35,12.7,15.88,9.53,17.48,,12.7,,,,,,,,,,
36,36.000,914.40,6.35,12.7,15.88,9.53,19.05,,12.7,,,,,,,,,,
38,38.000,965.20,,,,9.53,,,12.7,,,,,,,,,,
40,40.000,1016.00,,,,9.53,,,12.7,,,,,,,,,,
42,42.000,1066.80,,,,9.53,,,12.7,,,,,,,,,,
44,44.000,1117.60,,,,9.53,,,12.7,,,,,,,,,,
46,46.000,1168.40,,,,9.53,,,12.7,,,,,,,,,,
48,48.000,1219.20,,,,9.53,,,12.7,,,,,,,,,,
52,52.000,1321.00,,,,9.53,,,12.7,,,,,,,,,,
56,56.000,1422.00,,,,9.53,,,12.7,,,,,,,,,,
60,60.000,1524.00,,,,9.53,,,12.7,,,,,,,,,,
72,72.000,1829.00,,,,9.53,,,12.7,,,,,,,,,,